country,pop,urb,gdp,dist,hf,pf,ef,date_first,detection,status,cumul,air,datetime,cases,Cumulative_number_for_14_days_of_COVID-19_cases_per_100000,china_start,start_date,corona_converge_days
Cambodia,16249798,23.388,4360.85440445566,2643780.4426784,7.13,6.82476380475199,7.44,29,57.7,1,4580,1411.06,2020-03-28,4,0.58835867,2019-12-30,2020-01-28,60
Cameroon,25216237,56.374,3785.07997826904,9735966.77877058,5.64,5.43306421184286,5.84,68,35.6,1,101122,265.14,2020-06-15,292,15.3035275,2019-12-30,2020-03-07,100
Canada,37058856,81.411,48130.2559725043,8965621.62354283,8.65,9.2229636049021,8.08,27,96.4,1,2020,89380.0,2020-05-04,2760,66.01527603,2019-12-30,2020-01-26,99
Cape Verde,543767,65.732,7454.06391681042,12031010.9111246,7.45,7.74008475629658,7.16,82,9.3,1,269677,140.43,2020-07-06,31,102.01187047,2019-12-30,2020-03-21,107
Central African Republic,4666377,41.364,859.935619639664,8988537.03819715,5.41,5.59276449739906,5.23,77,17.7,1,166430,46.36,2020-06-18,154,28.97677833,2019-12-30,2020-03-16,94
Chad,15477751,23.059,1968.25826164116,8588724.51091001,5.46,5.49040127695032,5.42,81,36.5,1,241052,28.33,2020-05-19,16,2.52086897,2019-12-30,2020-03-20,60
Chile,18729160,87.564,25222.5277771449,19577066.2524811,8.15,8.41072554877547,7.89,65,72.7,1,92122,19517.19,2020-06-21,5355,575.15195598,2019-12-30,2020-03-04,109
Colombia,49648685,80.778,15012.9302675399,15512253.6452395,6.93,7.17622386174791,6.68,68,41.7,1,101122,33704.04,2020-07-12,4586,112.77637697,2019-12-30,2020-03-07,127
Congo,5244363,66.916,5662.06341112502,9943190.89755643,5.8,6.51634384497267,5.08,77,7.0,1,166430,333.9,2020-07-11,207,15.31455046,2019-12-30,2020-03-16,117
Costa Rica,4999441,79.34,17671.0953526733,14785886.633786,7.7,7.98976168871179,7.41,68,56.0,1,101122,1948.55,2020-07-12,386,84.23870459,2019-12-30,2020-03-07,127
Ivory Coast,25069229,50.779,4207.08693435064,11207024.5532789,6.59,7.20471504821402,5.97,73,44.5,1,124464,779.48,2020-07-03,290,15.27809675,2019-12-30,2020-03-12,113
Croatia,4089400,56.947,27579.7808327382,7071201.54771086,7.86,8.4543302341116,7.26,58,72.3,1,80272,2093.58,2020-07-12,140,25.70993017,2019-12-30,2020-02-26,137
Cyprus,1189265,66.81,38513.2845672751,6256469.38278859,7.93,8.1829629792194,7.68,71,10.5,1,113067,401.41,2020-04-12,21,49.89159709,2019-12-30,2020-03-10,33
Czech Republic,10629928,73.792,39743.5970941416,6921794.57090159,8.34,8.92216511834099,7.75,63,44.9,1,88313,5727.2,2020-04-09,295,34.34806287,2019-12-30,2020-03-02,38
Democratic Republic of the Congo,84068091,44.46,932.172006786861,9326697.36785311,5.36,5.72729740034787,5.0,72,25.1,1,117624,932.04,2020-06-30,113,2.42192216,2019-12-30,2020-03-11,111
Denmark,5797446,87.874,55671.1652650668,6950550.76625105,8.56,9.23844450574407,7.89,59,86.0,1,81363,6428.7,2020-04-12,177,65.36250528,2019-12-30,2020-02-27,45
Dominican Republic,10627165,81.074,17748.1853186175,13837190.8670075,6.95,6.98216986402105,6.92,63,37.1,1,88313,11.9,2020-07-12,6199,162.91153787,2019-12-30,2020-03-02,132
Ecuador,17084357,63.821,11734.3873890471,16104587.0464198,6.82,7.35801772088336,6.28,62,71.2,1,86276,5365.26,2020-05-05,2343,125.20680016,2019-12-30,2020-03-01,65
Egypt,98423595,42.704,12412.3094005832,6944423.12848502,4.5,3.9463345569402,5.05,47,41.5,1,66864,12340.83,2020-06-27,1625,21.36807563,2019-12-30,2020-02-15,133
El Salvador,6420744,72.023,8331.80414200319,14281002.7451918,6.89,6.62325912434746,7.16,80,73.9,1,211995,2545.11,2020-07-11,298,56.17063477,2019-12-30,2020-03-19,114
Estonia,1320884,68.88,35973.7764604798,5972791.41268157,8.46,9.02180578108812,7.89,60,77.6,1,82624,31.98,2020-04-09,36,58.95140472,2019-12-30,2020-02-28,41
Ethiopia,109224559,20.763,2022.13796136605,7146991.46193559,5.25,4.77270391186553,5.72,75,33.7,1,141965,11501.24,2020-06-21,399,2.26180299,2019-12-30,2020-03-14,99
Fiji,883483,56.248,10879.4784622426,8672803.42154847,7.17,7.60547365023136,6.74,81,16.4,1,241052,1670.22,2020-04-15,0,1.23601755,2019-12-30,2020-03-20,26
Finland,5518050,85.382,48416.93602994,5823420.856976,8.53,9.26855813809539,7.8,31,61.6,1,7815,13364.84,2020-04-18,120,33.96207882,2019-12-30,2020-01-30,79
France,66987244,80.444,45342.3957360832,8550120.85210901,8.02,8.69371619896776,7.35,26,75.3,1,1347,70188.03,2020-04-11,4342,86.12075383,2019-12-30,2020-01-25,77
Gabon,2119275,89.37,17875.7611482905,10233362.2021296,5.99,6.10279871159904,5.88,74,6.1,1,132534,77.32,2020-06-29,0,80.36535397,2019-12-30,2020-03-13,108
Gambia,2280102,61.27,2612.00099501428,11585763.489645,5.94,4.64098928424685,7.23,79,36.9,1,193797,53.73,2020-07-10,1,0.89449401,2019-12-30,2020-03-18,114
Georgia,3731000,58.632,12004.5738332821,5126951.49577755,7.74,7.53399879784852,7.94,59,75.0,1,81363,516.03,2020-04-19,18,5.77967865,2019-12-30,2020-02-27,52
Germany,82927922,77.312,53074.5401181641,7170070.51216011,8.53,9.2474907908782,7.82,29,84.6,1,4580,109796.2,2020-04-09,4974,86.35832286,2019-12-30,2020-01-28,72
Ghana,29767108,56.06,4746.68499549277,10811367.4229831,6.94,7.30413770892206,6.58,74,40.5,1,132534,467.44,2020-07-11,371,26.30033975,2019-12-30,2020-03-13,120
Greece,10727668,79.058,29592.1524196167,6874035.91085205,7.33,8.06982810045465,6.59,59,78.4,1,81363,15125.93,2020-04-05,60,10.65774114,2019-12-30,2020-02-27,38
Guatemala,17247807,51.054,8462.37400812193,14032890.6426002,7.07,6.56344914611671,7.57,76,50.0,1,153747,145.79,2020-07-12,979,69.39690388,2019-12-30,2020-03-15,119
